Артикул;Название;Цена;Остаток
8694;Сварочный полуавтомат Алмаз MIG 160 SYNERGY;;99
8656;Сварочный полуавтомат Алмаз MIG 180 SYNERGY;;99
8756;Сварочный полуавтомат СВАРИС 200 Комби SYNERGY;16970;99
8464;Сварочный полуавтомат EXPERT MIG 200 SYN;27240;99
6351;Сварочный полуавтомат СВАРИС 200 Комби в кейсе;24100;9
5996;Аппарат аргонодуговой сварки TIG 165 DC (пр-во FoxWeld/КНР);22074;0
5997;Аппарат аргонодуговой сварки TIG 185 DC (пр-во FoxWeld/КНР);;0
6120;Аппарат для сварки пластиковых труб FoxPlastic 2500 ZJM;4990;99
6115;Аппарат для сварки пластиковых труб FoxPlastic 900;1390;9
6116;Аппарат для сварки пластиковых труб FoxPlastic 1200 ZJM;1460;9
6119;Аппарат для сварки пластиковых труб FoxPlastic 2200 ZJM;2630;99
4786;FoxWeld Аппарат для сварки пластиковых труб FoxPlastic 1800 (пр-во FoxWeld/КНР);2180;99
4279;FoxWeld Аппарат для сварки пластиковых труб FoxPlastic 1600 (пр-во FoxWeld/КНР);1500;99
5384;Угольник магнитный FIX-3 (45/90/135град, до 11кг);229;99
5153;Угольник магнитный FIX-4 (45/90/135град, до 22кг);326;99
5385;Угольник магнитный FIX-5 (45/90/135град, до 34кг);572;99
6005;Угольник магнитный FIX-6 (пр-во FoxWeld/КНР);935;99
6006;Угольник магнитный FIX-7 (пр-во FoxWeld/КНР);405;99
5393;Угольник магнитный FIX-3Pro (пр-во FoxWeld/КНР);211;99
5394;Угольник магнитный FIX-4Pro 30/45/60/75/90/135град, до 22кг;353;99
5395;Угольник магнитный FIX-5Pro (пр-во FoxWeld/КНР);608;99
5397;Клемма заземления магнитная МКЗ-200;232;99
5398;Клемма заземления магнитная МКЗ-400Р (пр-во FoxWeld/КНР);635;99
5387;Угольник магнитный SHIFT-3 отключаемый (45/90/135град, до 13кг);2055;99
5389;Угольник магнитный SHIFT-4 отключаемый (пр-во FoxWeld/КНР);2070;99
5388;Угольник магнитный SHIFT-6 отключаемый (пр-во FoxWeld/КНР);3083;99
5390;Угольник магнитный SHIFT-7 отключаемый (пр-во FoxWeld/КНР);3200;99
5401;Телескопическое зеркало диам. 5см (пр-во FoxWeld/КНР);272;99
5396;Набор приспособлений д/сварки MULTI-3 (пр-во FoxWeld/КНР);476;99
5392;Набор приспособлений д/сварки MULTI-6 (пр-во FoxWeld/КНР);1331;99
5391;Набор угольников магнитных FIX KIT-4 4шт/комплект, 45/90/135град, усилие 4 х 4кг;487;99
5400;Набор магнитных тарелок FIXCAP-4 (пр-во FoxWeld/КНР);565;99
5399;Магнитный держатель сварочной горелки (пр-во FoxWeld/КНР);797;99
5386;Держатель магнитный TWIN шарнирный (двойной, 0-360 град, усилие 2 х 22кг);901;99
4415;Редуктор FoxWeld BH600-He (гелиевый, 1 манометр, вентиль, пр-во FoxWeld/КНР);1754;0
4423;Редуктор FoxWeld  GRE-3000 (ацетиленовый, 2 манометра, вентиль, пр-во FoxWeld/КНР);;0
4428;Редуктор БКО-50-СВ-АЛ (кислородный, 2 манометра);1271;0
4425;Редуктор БКО-50-СВ (кислородный, 2 манометра);1527;0
4422;Редуктор FoxWeld GRE-2000 (пропановый, 1 манометр, вентиль, пр-во FoxWeld/КНР);10263;1
5898;Редуктор FoxWeld  БПО-5-СВ-М (пропановый, 1 манометр, пр-во FoxWeld/КНР);1951;0
4429;Редуктор БПО-5-СВ-АЛ (пропановый, 1 манометр);1098;0
4426;Редуктор БПО-5-СВ (пропановый, 1 манометр);1425;99
1351;"Редуктор пропановый с регулятором тип &quot;ЛЯГУШКА&quot; Foxweld (вход. гайка 21.8-14/1&quot;LH, вых. 9мм)";260;0
8336;Редуктор пропановый “лягушка” с регулятором, W21.8, выход - резьба;322;99
8338;Редуктор БПО-5-5 (пропановый, 1 манометр, ЛАТУНЬ);1336;99
8339;Редуктор УР-6-5 (углекислотный, 2 манометра, ЛАТУНЬ);2919;99
8340;Редуктор БКО-50 МИНИ (кислородный, 2 манометра);1139;99
8341;Редуктор БПО-5 МИНИ (пропановый, 1 манометр);922;99
8342;Редуктор УР-6 МИНИ (углекислотный, 2 манометра);1725;99
8344;Редуктор БПО-5-3 (пропановый, 1 манометр);782;99
8345;Редуктор БКО-50-12,5 (кислородный, 2 манометра);1200;99
8337;Редуктор БКО-50-5 (кислородный, 2 манометра, ЛАТУНЬ);1965;99
9745;Редуктор бытовой пропановый РДСГ-1-1,2 ;290;99
6525;Регулятор расхода газа VARTEG УРГ-40 (аргоновый/углекислотный);1327;99
4416;Регулятор FoxWeld WR550 mini (аргоновый/углекислотный, 1 манометр, 1 расходомер стрелочн., пр-во FoxWeld/КНР);1740;99
4414;Регулятор FoxWeld WR500 (аргоновый/углекислотный, 1 манометр, 1 расходомер, вентиль, пр-во FoxWeld/КНР);3066;99
4413;Регулятор FoxWeld WR420-F2 (аргоновый/углекислотный, 1 манометр, 2 расходомера, вентиль, пр-во FoxWeld/КНР);5381;99
4412;Регулятор FoxWeld  WR410-F (аргоновый/углекислотный, 1 манометр, 1 расходомер, вентиль, пр-во FoxWeld/КНР);4329;99
7050;Регулятор VARTEG УРГ-40 (Cu) (аргоновый/углекислотный, 1 манометр, 1 ротаметр, ( вентиль);1379;9
8343;Редуктор АР-40 МИНИ (аргон, 2 манометра);1139;99
8346;Регулятор расхода газа У-30/АР-40-2P (универсальный, 1 манометр);2432;99
8347;Регулятор расхода газа У-30/АР-40-1P-36В (универсальный, 1 манометр, подогреватель);2727;99
8348;Регулятор расхода газа У-30/АР-40-1P-230В (универсальный, 1 манометр, подогреватель);2727;99
8354;Регулятор расхода газа У-30/АР-40-1P (универсальный, 1 манометр, латунь);2899;99
8355;Регулятор расхода газа У-30/АР-40-1P-36В (универсальный, 1 манометр, подогреватель, латунь);3788;99
8356;Регулятор расхода газа У-30/АР-40-1P-230В (универсальный, 1 манометр, подогреватель, латунь);3789;9
6646;Рукав резиновый для газовой сварки (I класс, красный) d=9мм, бухта 10м;922;99
1446;Рукав кислородный д.6.3мм черный (бухта 40м, 3 кл);57;99
6670;Рукав резиновый для кислорода (III класс, синий) d=9мм, бухта 5м;464;99
6669;Рукав резиновый для газовой сварки (I класс, красный) d=9мм, бухта 5м;464;99
6647;Рукав резиновый для кислорода (III класс, синий) d=9мм, бухта 10м;922;0
9204;Рукав кислородный д.9.0мм черный (бухта 40м, 3 кл);115;0
1445;Рукав д.9.0мм синий (бухта 40 метров, пр-во FoxWeld/КНР);86;99
1443;Рукав д.9.0мм красный (бухта 40 метров, пр-во FoxWeld/КНР);85;99
1441;Рукав д.6.3мм синий (бухта 40 метров, пр-во FoxWeld/КНР);59;99
1440;Рукав д.6.3мм красный (бухта 40 метров, пр-во FoxWeld/КНР);59;99
1447;Рукав кислородный д.9.0мм черный (бухта 40м, 3 кл);3306;99
6588;Набор паяльный VARTEG ГВП-400К;1417;99
6589;Набор кровельный VARTEG ГВП-450КР;1584;0
5087;Набор паяльный СВАРИС ГВП-400К;1173;0
7039;Подогреватель Foxweld углекислотный ПГС-36В (пр-во FoxWeld/КНР);2071;0
4431;Подогреватель FoxWeld  углекислотный ПГС-220В (пр-во FoxWeld/КНР);3143;0
4472;Набор для чистки наконечников FoxWeld TC-04 ;138;99
4483;Foxweld Зажигалка для газосварки L2 (пр-во FoxWeld/КНР);134;99
5152;"Переходник для больших  газовых баллонов W21,8LH-M16*1.5 &quot;папа&quot; (в блистере)";237;9
5457;Переходник для малых газовых баллонов с цангового на резьбовой epi-gas;217;99
4712;FoxWeld Манометр для регулятора WR420-F2 (аргон/углекислота) ВД (пр-во FoxWeld/КНР);313;9
7027;Расходомер для регулятора VARTEG УРГ-40;520;99
6003;Foxweld Клапан огнепреградительный КИСЛОРОД (пр-во FoxWeld/КНР);528;99
6004;Foxweld Клапан огнепреградительный ГАЗ (пр-во FoxWeld/КНР);528;99
4713;FoxWeld Манометр для редуктора WR500 (аргон/углекислота) ВД (пр-во FoxWeld/КНР);304;9
4924;FoxWeld Манометр для редуктора WR500 (аргон/углекислота) НД (пр-во FoxWeld/КНР);304;9
4714;FoxWeld Манометр для регулятора WR550 mini (аргон/углекислота) ВД (пр-во FoxWeld/КНР);255;9
4925;FoxWeld Манометр для регулятора WR550 mini (аргон/углекислота) НД (пр-во FoxWeld/КНР);264;9
8349;Манометр 25 МПа (кислородный, латунь);265;99
8350;Манометр 2,5 МПа (кислородный, латунь);265;99
8351;Манометр 0,6 МПа (пропановый, латунь);265;99
8352;Ротаметр, гайка М16х1,5 (универсальный);408;99
8353;Ротаметр двойной, гайка М16х1,5 (универсальный);889;99
8357;Подогреватель газов ПГ-1-36В (латунь);1288;99
8358;Подогреватель газов ПГ-1-230В (латунь);1288;99
8359;Ниппель 6/9мм, универсальный;50;9
8360;Соединитель 6/9, универсальный, неразъёмный;128;99
8361;Прокладка полиуретановая к БКО (кислородная, нейлон);25;0
8362;Прокладка полиуретановая к БПО (пропановая, нейлон);20;99
8363;Гайка накидная М16х1,5 (универсальная, латунь);92;99
8364;Гайка накидная М16х1,5LH (универсальная, латунь);92;99
8365;Гайка накидная М12х1,25 (универсальная, латунь);83;99
8366;Гайка накидная М12х1,25LH (универсальная, латунь);83;99
6211;Бензиновый генератор Varteg G6500;51320;9
6179;Бензиновый генератор Varteg G2500;19711;0
5822;Бензиновый генератор Varteg G7500E;64149;99
5821;Бензиновый генератор Varteg G6500 E;54819;99
5820;Бензиновый генератор Varteg G3500E;27100;99
5819;Бензиновый генератор Varteg G3500;20994;99
5817;Электростанция бензиновая Varteg G950, Китай;11546;99
7240;Бензиновый генератор FoxWeld Standart G3500 E;30559;99
7241;Бензиновый генератор FoxWeld Standart G6500 ;53652;0
7242;Бензиновый генератор FoxWeld Standart G6500 E;57152;9
7243;Бензиновый генератор FoxWeld Expert G3700 ;33390;99
7244;Бензиновый генератор FoxWeld Expert G3700 E;37757;99
7245;Бензиновый генератор FoxWeld Expert G7500 EW;73000;99
7246;Бензиновый генератор FoxWeld Expert G8500 EW;79235;0
7247;Бензиновый генератор FoxWeld Expert G9500 EW;92000;9
7239;Бензиновый генератор FoxWeld Standart G3500 ;27500;99
8221;Бензиновый генератор FoxWeld Expert G8500 EW в компл. с блоком автоматики;97548;9
8222;Бензиновый генератор FoxWeld Expert G9500 EW в компл. с блоком автоматики;107877;9
7863;Бензиновый генератор FoxWeld Expert G9500-3;89504;9
7864;Бензиновый генератор FoxWeld Expert G9500-3 HP;99322;0
7908;Бензиновый генератор FoxWeld Expert G6500 EW;70205;9
8449;Бензиновый генератор BG-2500;11500;99
5218;Инверторный генератор Foxweld GIN 3700 (пр-во FoxWeld/КНР);77333;9
8451;Бензиновый инверторный генератор VARTEG G1500i;23200;5
8452;Бензиновый инверторный генератор VARTEG G2600i;;0
8454;Бензиновый инверторный генератор VARTEG G3800i;32400;0
8455;Бензиновый инверторный генератор VARTEG G4600i;;0
8457;Бензиновый инверторный генератор VARTEG G5000i;;0
8456;Бензиновый инверторный генератор VARTEG G2300i;;0
5213;Инверторный генератор Foxweld GIN 1200 (пр-во FoxWeld/КНР);29392;9
5214;Инверторный генератор Foxweld GIN 1500 (пр-во FoxWeld/КНР);39656;99
9388;Бензиновый инверторный генератор FOXWELD G4700i;36000;9
6651;Электродвигатель в сборе со шкивом AEROMAX YL-90L-2;12000;9
6650;AERO Электродвигатель в сборе YL-90S-2;7900;9
7049;"AEROMAX Фильтр воздушный в сборе G 1&quot;";530;99
6653;"AEROMAX Фильтр воздушный в сборе G 3/4&quot;";190;99
6656;"AERO Фильтр воздушный в сборе G 1/2&quot;";130;99
5772;"Фильтр-осушитель с внутренней резьбой 1/4&quot; AERO";401;99
5771;"Регулятор давления со встроенным манометром 10 бар, 1/4&quot; AERO";647;9
5770;"Сливная пробка - внешняя резьба 1/4&quot; AERO";79;99
5764;"Реле давления одноступенчатое 1/4&quot; F, 6-8 бар AERO";661;99
5762;"Регулятор давления AERO с манометром и фильтром-осушителем 1/4&quot; F";823;99
5766;"Предохранительный клапан с внешней резьбой 3/8&quot; AERO";241;99
5765;"Предохранительный клапан с внешней резьбой 1/4&quot; AERO";127;99
5763;"Манометр 50 мм, 12,5 бар 1/4&quot; M AERO";238;99
5761;"AERO Воздушный фильтр G 3/8&quot;";113;99
5760;"AERO Воздушный фильтр G 1/2&quot;";113;99
7841;"Реле давления одноступенчатое 1/4&quot; F, 8-10 бар AERO";661;99
8716;"Фильтр воздушный в сборе 1 1/4&quot; AEROMAX";348;0
8713;AEROMAX Фильтр воздушный в сборе M33 х 1,5;260;99
9012;Компрессорная головка ременная AEROMAX B3090;18400;1
9013;Компрессорная головка ременная AEROMAX B3065;13500;9
9014;Компрессорная головка ременная AEROMAX B2080;19699;9
9015;Компрессорный блок безмасляный AEROMAX F2063-750;9800;5
9016;Компрессорная головка ременная AEROMAX B2105T;58500;9
9017;Компрессорная головка ременная AEROMAX B2065;9700;9
9018;Компрессорный блок безмасляный AEROMAX F2063-1100;15500;9
9019;Компрессорный блок безмасляный AEROMAX F2063-1500;16800;9
9011;Компрессорная головка ременная AEROMAX B2051;8700;0
9126;"Манометр 50 мм 1/8&quot; внешняя резьба";226;99
9291;Компрессорная головка ременная AEROMAX B3100;65400;5
9292;Компрессорная головка ременная AEROMAX B3120;96800;1
9314;Электродвигатель в сборе AEROMAX EM-420 (400В / 3кВт);13300;0
9315;Электродвигатель в сборе AEROMAX EM-550 (400В / 4кВт);17400;5
9316;Электродвигатель в сборе AEROMAX EM-700 (400В / 7.5кВт);21700;5
9317;Электродвигатель в сборе AEROMAX EM-1050 (400В / 7.5кВт);37500;0
9318;Электродвигатель в сборе AEROMAX EM-1350 (400В / 11кВт);54000;0
9319;Электродвигатель в сборе AEROMAX EM-1650 (400В / 15кВт);62900;5
9515;"Фильтр воздушный AERO в сборе G 3/8&quot;";;0
9516;"Фильтр воздушный AERO в сборе G 1/2&quot;";;0
9517;"Фильтр воздушный AERO в сборе G 1/4&quot;";;0
9518;Картридж бумажный для воздушного фильтра AERO PC10080;;0
9519;Картридж бумажный для воздушного фильтра AERO PC6535;;0
9520;Фильтр-осушитель с регулятором AERO SR 08R2 38M;;0
9521;Блок подготовки воздуха AERO SRL 10S 14F;;0
9522;Блок подготовки воздуха AERO SRL 10A 14F;;0
9523;Регулятор давления AERO R 08 14F;;0
9524;Регулятор давления AERO RM 08R1 14M;;0
9570;Реле давления в сборе AERO PR1 12 R2M2;;0
9571;Реле давления  в сборе AERO PR3 12 R2M2;;0
9572;Реле давления в сборе AERO PR1 R1M2 12;;0
9573;Реле давления в сборе AERO PR3 12 R1M2;;0
9574;Реле давления AERO PR3 12 ;;0
9501;"Пробка сливная AERO G 1/2&quot; наруж.";;0
9502;"Пробка сливная AERO G 3/8&quot; наруж.";;0
7128;Компрессор безмасляный AERO 186/6;12500;0
5374;Компрессор безмасляный AERO 130/24 oil-free;13400;9
5716;Компрессор безмасляный AERO 180/6;11300;99
9756;Компрессор безмасляный AERO 130/6F;12500;99
9757;Компрессор безмасляный AERO 180/5F N12;11500;0
9758;Компрессор безмасляный AERO 180/0F N10;7900;0
9983;Компрессор безмасляный AERO 250/24F;12000;9
9985;Компрессор безмасляный AERO 500/50F;22000;0
9986;Компрессор безмасляный AERO 750/100F;39700;9
9987;Компрессор безмасляный AERO 750/150F;46000;9
5071;Компрессор масляный коаксиальный AERO 220/50;14200;99
5072;Компрессор масляный коаксиальный AERO 360/50;22000;9
5068;Компрессор масляный коаксиальный AERO 140/8;9900;9
5069;Компрессор масляный коаксиальный AERO 220/24;11700;9
5940;Компрессор масляный коаксиальный AERO 220/24 с комплектом;12100;9
9009;FTL Компрессор коаксиальный 440/50;26300;9
9010;FTL Компрессор коаксиальный 440/100;36000;9
6796;Компрессор масляный ременной AEROMAX 480/100 HP ;47200;9
7069;Компрессор масляный ременной AEROMAX 550/100 HP;59400;9
7068;Компрессор масляный ременной AEROMAX 380/100 HP ;39300;9
5074;Компрессор масляный ременной AEROMAX 420/100;45400;9
5075;Компрессор масляный ременной AEROMAX 550/100;57200;9
5375;Компрессор масляный ременной AEROMAX 700/150;73400;9
5962;Компрессор масляный ременной AERO 380/100;38100;9
5887;Компрессор масляный ременной AEROMAX 480/100;45500;99
5888;Компрессор масляный ременной AEROMAX 1050/300;139800;9
7290;Компрессор масляный ременной AEROMAX 390/100;40700;9
9020;AEROMAX Компрессор ременной 1050/500 HP;167700;9
9021;AEROMAX Компрессор ременной 1350/500 HP;207000;9
9022;AEROMAX Компрессор ременной 1650/500 HP;254500;9
9007;FTL Компрессор ременной 440/50 HP;34900;9
9008;FTL  Компрессор ременной 440/100 HP;38600;9
6615;"Маска сварщика КОРУНД МЕГА &quot;красная&quot; (ф-р MEGA LED) в коробке";28000;9
6593;"Маска сварщика TOPSHIELD &quot;Original&quot; (ф-р 9800V) без коробки";7106;9
6607;"Маска сварщика FOXCRAFT &quot;галактика&quot; (ф-р 9700V) без коробки";9915;0
6568;"Маска сварщика FOXCRAFT &quot;индиго&quot; (ф-р 9700V) без коробки";9184;9
6570;"Маска сварщика FOXCRAFT &quot;магма&quot; (ф-р 9700V) без коробки";9184;99
6565;"Маска сварщика КОРУНД-2 &quot;чёрная&quot; (ф-р 7100V) без коробки";3675;0
5989;"Маска сварщика КОРУНД МЕГА &quot;чёрная&quot; (ф-р MEGA, внеш. регулировка) в коробке";20042;0
5514;"Маска сварщика КОРУНД-5 &quot;красная&quot; без коробки (ф-р 2100V, пр-во FoxWeld)";3763;99
5513;"Маска сварщика КОРУНД-5 &quot;синяя&quot; без коробки (ф-р 2100V, пр-во FoxWeld)";3763;99
5516;"Маска сварщика КОРУНД-5 &quot;родина&quot; (ф-р 2100V) без коробки";4141;99
5512;"Маска сварщика КОРУНД-5 &quot;черная&quot; без коробки (ф-р 2100V, пр-во FoxWeld)";3763;99
5295;"Маска сварщика GEFEST &quot;серебро&quot;  (ф-р 9700V, пр-во FoxWeld/КНР) без коробки";9184;0
5294;"Маска сварщика GEFEST &quot;черная&quot; (ф-р 9700V,пр-во FoxWeld), без коробки";9184;99
5296;"Маска сварщика GEFEST &quot;вектор&quot; (ф-р 9700V, пр-во FoxWeld), без коробки";9184;99
5292;"Маска сварщика GEFEST &quot;синяя&quot; (ф-р 9500V, пр-во FoxWeld) без коробки";6123;1
5293;"Маска сварщика GEFEST &quot;красная&quot; без коробки (ф-р 9500V, пр-во FoxWeld),без коробки";6123;99
4229;"Маска сварщика КОРУНД-2 &quot;карбон&quot; (ф-р 9100V, пр-во FoxWeld) ,без коробки";5248;0
5191;"Маска сварщика КОРУНД-2 &quot;фокс&quot; (ф-р 7100V, пр-во FoxWeld), без коробки";4083;0
5189;"Маска сварщика КОРУНД-2 &quot;модерн&quot; (ф-р 7100V, пр-во FoxWeld/КНР), без коробки";5424;0
3467;"Маска сварщика КОРУНД-2 &quot;пламя&quot; (ф-р 7100V) без коробки";5424;9
3465;"Маска сварщика КОРУНД-2 &quot;красная&quot; (ф-р 7100V), без коробки";3675;0
3466;"Маска сварщика КОРУНД-2 &quot;синяя&quot; (ф-р 7100V, пр-во FoxWeld), без коробки";3675;0
4203;"Маска сварщика ЛОРД &quot;черная&quot; (ф-р АСФ 4/9-13) без коробки";3265;1
5895;"Маска сварщика КОРУНД &quot;черная&quot; (ф-р АСФ 4/9-13 с внеш. рег., пр-во FoxWeld) ,без коробки";2187;99
4201;"Маска сварщика КОРУНД &quot;черная&quot; (ф-р АСФ 4/9-13, пр-во FoxWeld) ,без коробки";2013;9
6327;"Маска сварщика VARTEG &quot;черная&quot; (ф-р 3500V, пр-во FoxWeld), без коробки";1575;99
4939;"Маска сварщика КОРУНД &quot;прима&quot; (ф-р АСФ 3/11, пр-во FoxWeld ,без коробки";1180;99
5894;"Маска сварщика КОРУНД  &quot;промо&quot;  (ф-р АСФ 3/11), пр-во FoxWeld), без коробки ";1246;9
5322;"Маска сварщика ГЛАДИАТОР &quot;черная&quot; С5  (пр-во FoxWeld) с откидным стеклом";766;99
6462;"Маска сварщика VARTEG &quot;чёрная&quot; со стеклом С5";510;99
6612;"Маска сварщика KVAZARRUS &quot;чёрная&quot; (ф-р 3500V) без коробки";1615;0
7194;"Маска сварщика АЛМАЗ &quot;черная&quot; (3700V) без коробки (пр-во FoxWeld/КНР)";1120;0
7581;Маска сварщика КОРУНД-3 PLUS (ф-р 3600V с внеш. рег.) без коробки;2771;99
7389;Маска сварщика КОРУНД-Х (ф-р 9900V) без коробки;7173;99
7392;Маска сварщика КОРУНД-Х PLUS (ф-р 9910V с внеш. рег.) без коробки;6739;99
7395;Маска сварщика КОРУНД-Х SYNERGY (ф-р MEGA LED 2) без коробки;14851;99
8255;"Маска сварщика КОРУНД МЕГА &quot;синяя&quot; (ф-р MEGA LED 2) без коробки";20042;99
8721;"Маска сварщика FOX 2 &quot;черная&quot; (ф-р АСФ 4/9-13 с внеш. рег.) без коробки ";1201;99
8724;"Маска сварщика FOX 3 &quot;черная&quot; (ф-р АСФ 4/9-13 с внеш. и внутр. рег.) без коробки ";1353;99
8256;"FOX &quot;черная&quot;  (ф-р АСФ 3/11 без рег) маска сварщика без коробки ";922;9
4335;"Маска сварщика КОРУНД-2 &quot;мехико&quot; без коробки (ф-р 7100V, пр-во FoxWeld/КНР)";4083;0
5144;"Маска сварщика КОРУНД-2 &quot;огонь&quot; (ф-р 7100V, пр-во FoxWeld/КНР),без коробки";4083;0
8266;"Маска сварщика КОРУНД-Х PRO &quot;ф-р 8100V&quot; в коробке";7922;1
8265;"Маска сварщика КОРУНД-Х PRO &quot;ф-р 8100V&quot; без коробки";7768;9
8315;Маска сварщика для сварки в режиме COLD TIG;7815;9
9820;Маска сварщика из спилка;7380;1
8269;Маска сварщика черная Ultimate M X650 в коробке;;9
8272;Маска сварщика черная Ultimate A1 X850 в коробке;;9
8274;Маска сварщика черная Ultimate A X851 в коробке;;99
8276;Маска сварщика черная Ultimate A X860 в коробке;;99
8279;Маска сварщика черная Ultimate FC X855 в коробке;;9
8282;Маска сварщика черная Ultimate C X860 в коробке;;9
2069;Стекла 69*121 С4 ТС-3 (10SG1);51;99
6476;Стекло 69*121 С3 ТС-3 (9SG1);51;99
6475;Стекло 90*110 С6 ТС-3 (12SG1);51;99
2075;Стекло 90*110 С5 ТС-3 (11SG1);51;99
5866;Стекло 90*110 С4 ТС-3 (10SG1);51;99
5865;Стекло 90*110 С3 ТС-3 (9SG1);51;99
2084;"Фильтр - хамелеон 2100V - СВАРИС &quot;чёрная&quot; (пр-во FoxWeld/КНР)";2846;0
4321;Фильтр - хамелеон 3100V (пр-во FoxWeld/КНР);2180;0
5271;Фильтр д/маски 3шт 110*90мм (С3-С4-С5, набор по 1шт в блистере);231;0
2085;Фильтр - хамелеон 5100V (пр-во FoxWeld/КНР);2554;9
3453;"Фильтр - хамелеон 9100V - КОРУНД-2 &quot;огонь&quot; (пр-во FoxWeld/КНР)";5065;99
5319;"Фильтр - хамелеон 9500V - GEFEST &quot;синяя, красная&quot;";5879;99
5320;"Фильтр - хамелеон 9700V - GEFEST &quot;серебро&quot; (пр-во FoxWeld/КНР)";9081;0
3654;"Фильтр - хамелеон ACФ 4/9-13  с внеш. рег. - КОРУНД &quot;чёрная&quot;";2355;99
6632;Набор фильтров С3-С4-С5 VARTEG д/маски 110х90 мм (по 1шт. в блистере);224;99
7211;Фильтр - хамелеон 7100V;2243;99
4039;Светофильтр - хамелеон ACФ 4/9-13 в блистере;1949;9
7394;Фильтр - хамелеон 9910V с внеш. рег. - КОРУНД-Х PLUS;6082;99
6114;"Краги спилковые &quot;Грин&quot; FoxWeld";493;0
5949;"Краги спилковые &quot;Рэд&quot; FoxWeld";493;0
4704;"Краги спилковые водоотталкивающие &quot;Защита&quot; (артикул 10-2750L, пр-во FoxWeld/КНР)";1553;0
6323;Краги спилковые зелёные (пр-во Foxweld);465;0
6324;Краги спилковые красные (пр-во Foxweld);493;0
7307;"Краги спилковые термостойкие &quot;Мастер&quot; FOXWELD";640;99
8494;"Краги спилковые термостойкие FOXWELD &quot;ИНДИГО&quot; КС-01";873;99
8495;"Краги кожаные мягкие FOXWELD &quot;ПРОФ&quot; КС-01";809;0
8496;"Краги кожаные мягкие FOXWELD &quot;Евро&quot; СА-08";595;1
8497;"Краги кожаные FOXWELD &quot;Вектор&quot; КСА-09";750;0
8498;"Краги кожаные мягкие FOXWELD &quot;Мустанг&quot; КС-03";878;0
8499;"Краги кожаные термостойкие FOXWELD &quot;Защитник&quot; КС-03";873;99
8500;"Краги кожаные термостойкие FOXWELD &quot;Гранит&quot; КС-05";1050;0
8502;"Краги кожаные термостойкие FOXWELD &quot;Янтарь&quot; КС-04";1065;99
7769;"Краги кожаные мягкие FOXWELD &quot;ЭЛИТ&quot; КCА-01";645;0
8501;"Краги алюминизированные FOXWELD &quot;Сплав&quot; KEVLAR";5295;99
8503;"Краги алюминизированные FOXWELD &quot;Сплав&quot; ";4123;99
8504;"Краги утепленные FoxWeld &quot;Сибирис&quot; КС-06";1362;99
2053;Поликарбонатное стекло внутреннее 96х51мм (пр-во FoxWeld/КНР);5;99
3804;Поликарбонатное стекло внутреннее 104х70мм (пр-во FoxWeld/КНР);14;99
3946;Поликарбонатное стекло внешнее 105х86мм (пр-во FoxWeld/КНР);15;99
2061;Поликарбонатное стекло внешнее 110х90мм (РФ);33;99
7098;Поликарбонатное стекло внешнее 393  х 150  х 1 мм (РФ);217;9
6129;Поликарбонатное стекло внешнее GEFEST 114х133х1мм;54;0
6590;Комплект поликарбонатных стекол №1 (10 внешних 110х90мм, 1 внутреннее 96х51мм, для масок Корунд/Комета/Искра);395;0
6591;Комплект поликарбонатных стекол  №2 (10 внешних 119х98мм, 1 внутреннее 96х51мм, для масок Корунд-2/CВАРИС/Лорд);451;0
6596;Поликарбонатное стекло внешнее 156.7х151.3х29.5 TOPSHIELD;200;99
5318;Комплект поликарбонатных стекол 114х133мм (10шт) №3 (пр-во FoxWeld);858;0
4589;Поликарбонатное стекло внешнее 119х99мм (пр-во FoxWeld/КНР);42;99
7306;Поликарбонатное стекло внутреннее 102 х 46 х 1мм KVAZARRUS;58;9
7169;Поликарбонатное стекло VARTEG 100*30мм  внутреннее ;38;1
6800;Поликарбонатное стекло 114*89*1 мм (закругленные края) ;46;99
6106;Поликарбонатное стекло 226х106мм;110;9
9027;Поликарбонатное стекло внешнее 250х120мм для маски Корунд-Х PRO;348;99
9028;Поликарбонатное стекло внутреннее 100х70мм для маски Корунд-Х PRO;169;99
2057;Поликарбонатное стекло внешнее 119х98мм;50;99
8231;Пластина поликарбонатная 118*89*1 мм внутренняя Мега;42;9
8232;Пластина поликарбонатная 37*74*85мм внутренняя Мега боковая;48;0
5810;Фартук с рукавами L;5450;0
5812;Фартук с рукавами XXL;5450;0
5811;FoxWeld Фартук для сварки, размер XL (пр-во FoxWeld/КНР);4950;0
9813;Фартук спилковый сшивной;1610;0
9814;Фартук спилковый цельный без швов;1900;0
9816;Фартук брезентовый;545;0
9817;Наколенники сварщика (пара);2100;0
9818;КСМ Гетры сварщика (пара);1320;0
9815;Фартук с рукавами XL(52-54);5450;0
3214;Нарукавники спилковые с липучкой  ;1570;0
1626;Подшлемник спилковый летний;1635;0
1629;Накладка защитная на сварочные краги (1уп.-2 шт.);220;0
1630;КСМ Нарукавники брезентовые (пара) ;440;0
7075;Оголовье TOPBAND с крепёжными деталями к маскам ;740;99
3454;Оголовье с крепёжными деталями к маскам КОРУНД;237;0
8569;Фильтр Guardian Air, защищающий от твёрдых частиц (HEPA);3375;99
8570;Фильтр Guardian Air для первичной очистки;172;5
8571;Искрогаситель Guardian Air;189;0
8572;Крышка фильтра к блоку Guardian Air;809;99
