;;;
;Остатки на складах АСТАРИ;;на 25.04.2024
;8.253.0010;Пылеводосос бытовой электрический Lavor WT 20 P (Бак из пластика);ожидается
;8.253.0011;Пылеводосос бытовой электрический Lavor WT 20 X (Бак из нержавейки);++
;8.253.0013;Пылеводосос бытовой электрический Lavor WT 30 XE (с розеткой для эл.инструмента);++
;8.204.0059;Пылесос моющий электрический Lavor GBP 20;ожидается
;8.404.0051;Парогенератор электрический Lavor Pro GV KONE;ожидается
;8.404.0044;Парогенератор электрический Lavor SKYVAP MAX;++
;8.254.0007;Пылесос электрический для золы Lavor ASHLEY 111;++
;8.254.0008;Пылесос электрический для золы Lavor ASHLEY 411 (1000 Вт);ожидается
;8.204.0073;Пылесос моющий электрический Lavor GBP 20 New;ожидается
;;;
;1T90QW130;Двигатель бензиновый Zongshen NH 130;ожидается
;1T90QJ150;Двигатель бензиновый Zongshen NH 150 H;++
;1T90QS210;Двигатель бензиновый Zongshen SN 210 Snow;+
;1T90QS391;Двигатель бензиновый Zongshen SN 390 E Snow;ожидается
;1T90QS421;Двигатель бензиновый Zongshen SN 420 E Snow;++
;1T90QC140;Двигатель бензиновый Zongshen XP 140 A;++
;1T90QWX21;Двигатель бензиновый Zongshen XP 200;++
;1T90QC203;Двигатель бензиновый Zongshen XP 200 A (D 22,2 мм, L 62 мм);++
;1T90QC200;Двигатель бензиновый Zongshen XP 200 A (D 22,2 мм, L 80 мм);++
;1T90QC202;Двигатель бензиновый Zongshen XP 200 A (D 25 мм, L 60 мм);ожидается
;1T90QC201;Двигатель бензиновый Zongshen XP 200 A (D 25 мм, L 80 мм);++
;1T90QQXP2;Двигатель бензиновый Zongshen XP 200 E;ожидается
;1T90QW255;Двигатель бензиновый Zongshen XP 225 A;++
;1T90QW256;Двигатель бензиновый Zongshen XP 225 AE;++
;1T90QQP90;Двигатель бензиновый Zongshen XP 420 FE;ожидается
;1T90QC440;Двигатель бензиновый Zongshen XP 440 E-3;ожидается
;1T90QQXP6;Двигатель бензиновый Zongshen XP 620 FE;++
;1T90QC2W3;Двигатель бензиновый Zongshen XP 680 FE;++
;1T90QC750;Двигатель бензиновый Zongshen XP 750 EFI;ожидается
;1T90QC101;Двигатель бензиновый Zongshen XP 1000 (Т-тип) 28,575 мм;ожидается
;1T90Q168F;Двигатель бензиновый Zongshen ZS 168 FB-2 (для генераторов);ожидается
;1T90QQ164;Двигатель бензиновый Zongshen ZS 168 FB-4;+
;1T90QW681;Двигатель бензиновый Zongshen ZS 168 FB-6;++
;1T90QW682;Двигатель бензиновый Zongshen ZS 168 FBE ;ожидается
;1T90QQ6E4;Двигатель бензиновый Zongshen ZS 168 FBE-4;ожидается
;1T90QW774;Двигатель бензиновый Zongshen ZS 177 F (Q-тип);++
;1T90QS771;Двигатель бензиновый Zongshen ZS 177 F (для мотопомп);++
;1T90QW771;Двигатель бензиновый Zongshen ZS 177 FA2;ожидается
;1T90QW772;Двигатель бензиновый Zongshen ZS 177 FE;ожидается
;1T90QW773;Двигатель бензиновый Zongshen ZS 177-5;ожидается
;1T90QW881;Двигатель бензиновый Zongshen ZS 188 FA2;++
;1T90QQ18T;Двигатель бензиновый Zongshen ZS 188 FV (для генераторов);ожидается
;1T90QHG31;Двигатель бензиновый Zongshen ZS 188FP;ожидается
;1T90QD801;Двигатель бензиновый Zongshen ZS 188 FV (для генераторов);ожидается
;1T90Q190F;Двигатель бензиновый Zongshen ZS 190 F-2 (для генераторов);++
;1T90QW901;Двигатель бензиновый Zongshen ZS 190 FA2;ожидается
;1T90QW902;Двигатель бензиновый Zongshen ZS 190 FE;++
;1T90QW19B;Двигатель бензиновый Zongshen ZS 190 FE (без бака/итлан-каюр);ожидается
;1T90QW192;Двигатель бензиновый Zongshen ZS 190 FV (для генераторов);++
;1T90QF901;Двигатель бензиновый Zongshen ZS 190FE-2;++
;1T90QW160;Двигатель бензиновый Zongshen GB 160 (S-тип);++
;1T90QW200;Двигатель бензиновый Zongshen ZS GB 200 (Q-тип);++
;1T90QW201;Двигатель бензиновый Zongshen ZS GB 200 (S-тип);++
;1T90QS200;Двигатель бензиновый Zongshen ZS GB 200 (для мотопомп);++
;1T90QW251;Двигатель бензиновый Zongshen ZS GB 225 (Q-тип);ожидается
;1T90QW252;Двигатель бензиновый Zongshen ZS GB 225 (S-тип);++
;1T90QW253;Двигатель бензиновый Zongshen ZS GB 225-4;++
;1T90QW254;Двигатель бензиновый Zongshen ZS GB 225-6;++
;1T90QW270;Двигатель бензиновый Zongshen ZS GB 270;ожидается
;1T90QG275;Двигатель бензиновый Zongshen GB 270 C (Q-тип);++
;1T90QW271;Двигатель бензиновый Zongshen ZS GB 270 В;ожидается
;1T90QG272;Двигатель бензиновый Zongshen GB 270 ВE;++
;1T90QS424;Двигатель бензиновый Zongshen GB 420 25 мм;++
;1T90QW420;Двигатель бензиновый Zongshen GB 420 25,4 мм;ожидается
;1T90QS422;Двигатель бензиновый Zongshen GB 420E 25 мм;++
;1T90QW422;Двигатель бензиновый Zongshen GB 420 E 25,4 мм;++
;1T90QW423;Двигатель бензиновый Zongshen GB 420E-7;++
;1T90QW460;Двигатель бензиновый Zongshen ZS GB 460;++
;1T90QW461;Двигатель бензиновый Zongshen ZS GB 460 E;++
;1T90QX620;Двигатель бензиновый Zongshen ZS GB 620E;ожидается
;1T90QF680;Двигатель бензиновый Zongshen ZS GB 680 VE;ожидается
;1T90QA75E;Двигатель бензиновый Zongshen ZS GB 750 EFI 25.4 мм;ожидается
;1T90QA76E;Двигатель бензиновый Zongshen ZS GB 750 EFI 28.575 мм;ожидается
;1T90QA77E;Двигатель бензиновый Zongshen ZS GB 750 EFI 36.5 мм;ожидается
;1T90QA100;Двигатель бензиновый Zongshen ZS GB1000 (B-тип) 36,5 мм;++
;1T90QA101;Двигатель бензиновый Zongshen ZS GB1000 (Т-тип) 28,575 мм;ожидается
;1T90QJ682;Двигатель бензиновый Zongshen ZS GB680E;++
;1T90QA750;Двигатель бензиновый Zongshen ZS GB750E;ожидается
;1T90QGS35;Двигатель бензиновый Zongshen ZS S 35 ;ожидается
;1T90QGS40;Двигатель бензиновый Zongshen ZS S 40;+
;1T90Q750B;Двигатель бензиновый Zongshen GB 750 BE;ожидается
;1T90Q75BE;Двигатель бензиновый Zongshen GB 750B EFI 28.575 мм;ожидается
;1T90QW163;Двигатель бензиновый Zongshen GB 160 20 мм НОВИНКА!!!;ожидается
;1T90QW274;Двигатель бензиновый Zongshen GB 270 C 25 мм НОВИНКА!!!;ожидается
;1T90QW463;Двигатель бензиновый Zongshen GB 460 25,4 мм НОВИНКА!!!;++
;1T90QW464;Двигатель бензиновый Zongshen GB 460 E 25,4 мм НОВИНКА!!!;++
;1T90QW46V;Двигатель бензиновый Zongshen GB 460V E НОВИНКА!!!;ожидается
;1T90QW4EI;Двигатель бензиновый Zongshen GB 460V EI НОВИНКА!!!;ожидается
;Двигатели B&S (США);;
;;;ожидается
;13R2320060H5BD0048;Двигатель бензиновый Briggs & Stratton 6.5 CR950  (D=20 / L=50);++
;130G320014H5BD0048;Двигатель бензиновый Briggs & Stratton XR950;ожидается
;25T2360338F1;Двигатель бензиновый Briggs & Stratton XR2100;ожидается
;25T2370294F1AY7024;Двигатель бензиновый Briggs & Stratton XR2100E;ожидается
;104M020045H5YY0001;Двигатель бензиновый Briggs & Stratton 675 EXi (D=22.2 / L=62);ожидается
;104M020046H5YY0001;Двигатель бензиновый Briggs & Stratton 675 EXi (D=22.2 / L=80);ожидается
;104M020118H5YY0001;Двигатель бензиновый Briggs & Stratton 675 EXi (D=25.0 / L=52,2);++
;104M020066H5YY0001;Двигатель бензиновый Briggs & Stratton 675 EXi (D=25.0 / L=80);ожидается
;3564470668B5U0001;Двигатель бензиновый Briggs & Stratton Vanguard 18HP (570, D=25.4 мм L= 73.8, ручной+электро, 16А);ожидается
;3864470114B5HH1001;Двигатель бензиновый Briggs & Stratton Vanguard 23 HP (627, D=25.4 мм L= 73.8);ожидается
;5414771125J1;Двигатель бензиновый Briggs & Stratton Vanguard 27 HP (896, D=28.575 мм L= 101.6 мм);ожидается
;61E3770062J1EB0001;Двигатель бензиновый Briggs & Stratton Vanguard EFI 37 HP (993, D=28.575 мм L= 101.6 мм);ожидается
;13U232000101;Двигатель бензиновый Briggs & Stratton 6.5 RS 950;ожидается
;3564420369B5;Двигатель бензиновый Briggs & Stratton Vanguard 18HP (570, D=25.4 мм L=73.8 мм, без альтернатора);ожидается
;3564420370F1;Двигатель бензиновый Briggs & Stratton Vanguard 18HP (570, D=25.4 мм L=73.8 мм, топ. бак, без Е-ст.);ожидается
;3854470112B5;Двигатель бензиновый Briggs & Stratton Vanguard 21 HP (627, D=25.4 мм L= 73.8);ожидается
;3864470451B5CE0001;Двигатель бензиновый Briggs & Stratton Vanguard 23 HP (627, D=25.4 мм L= 73.8);++
;5434770018J1;Двигатель бензиновый Briggs & Stratton Vanguard 31 HP (896, D=28.575 мм L= 101.6 мм, циклон);ожидается
;6134774213J1;Двигатель бензиновый Briggs & Stratton Vanguard EFI (993, D=28.575 мм L= 101.6 мм, 4200 об/мин);ожидается
;6134774208J1EB0001;Двигатель бензиновый Briggs & Stratton Vanguard 35 HP (993, D=36.5 мм L= 114.3 мм);ожидается
;61E3770062J1;Vanguard EFI;ожидается
;61E3770057J1EB7001;Двигатель бензиновый Briggs & Stratton Vanguard EFI 37 (993, D=36.5 мм L= 114.3 мм);ожидается
;6134770039J1AD0001;Двигатель бензиновый Briggs & Stratton Vanguard 35 HP Marine (993, D=28.575 мм L= 114.3 мм);ожидается
;61E4770015J1EB0001;Двигатель бензиновый Briggs & Stratton Vanguard EFI 37 HP Marine (993, D=28.575 мм L= 101.6 мм);ожидается
;61G4770006J1EB0001;Двигатель бензиновый Briggs & Stratton Vanguard EFI 40 HP Marine;++
;;;
;UMK435TUERT;Триммер (мотокоса) бензиновый Honda UMK 435 T UERT;-
;UMK450EUEET;Триммер (мотокоса) бензиновый Honda UMK 450 E UEET;-
;UMK450EXEET;Триммер (мотокоса) бензиновый Honda UMK 450 E XEET;-
;HRG416C1PKEH;Газонокосилка бензиновая (бензокосилка) Honda HRG 416 PKEH;-
;HRG416C1SKEH;Газонокосилка бензиновая (бензокосилка) Honda HRG 416 SKEH;-
;HRG466C1PKEH;Газонокосилка бензиновая (бензокосилка) Honda HRG 466 PKEH;++
;HRG466C1SKEH;Газонокосилка бензиновая (бензокосилка) Honda HRG 466 SKEH;-
;HRG466C1SKEP;Газонокосилка бензиновая (бензокосилка) Honda HRG 466 SKEP;-
;HRG536C8VKEH;Газонокосилка бензиновая (бензокосилка) Honda HRG 536 VKEH;-
;HRX426CPDEH;Газонокосилка бензиновая (бензокосилка) Honda HRX 426 PDEA;-
;HRX426CSDEH;Газонокосилка бензиновая (бензокосилка) Honda HRX 426 C SDEA;-
;HRX476C2VKEH;Газонокосилка бензиновая (бензокосилка) Honda HRX 476 VKE;-
;HRX537C5VKE;Газонокосилка бензиновая (бензокосилка) Honda HRX 537 VKE;-
;HRX537C5HYE;Газонокосилка бензиновая (бензокосилка) Honda HRX 537 HYE;-
;HF2317HME;Газонокосилка с сиденьем (минитрактор) Honda HF 2317 HME;-
;HF2417K5HME;Газонокосилка с сиденьем (минитрактор) Honda HF 2417 HME;-
;FG201K1DET;Мотокультиватор бензиновый Honda FG 201 K1 DET;-
;FG205K1DET;Мотокультиватор бензиновый Honda FG 205 K1 DET;-
;F220K1DET2;Мотокультиватор бензиновый Honda F 220 K1 DET2;++
;FF300K1DET2;Мотокультиватор бензиновый Honda FF 300 K1 DET;-
;FJ500DER2;Мотокультиватор бензиновый Honda FJ 500 DER;++
;HHT36AXBEUE;Триммер аккумуляторный Honda HHT 36 AXB;-
;HRG416XBPEEA;Газонокосилка аккумуляторная Honda HRG 416 XB (без АКБ и ЗУ);+
;HRG466XBSEEA;Газонокосилка аккумуляторная Honda HRG 466 XB (без АКБ и ЗУ);-
;HHH36AXBE60R;Ножницы для кустов аккумуляторные Honda HHH 36 AXB;-
;HHB36AXBE86;Воздуходув аккумуляторный Honda HHB 36 AXB;-
;CV3680XAEM;Зарядное устройство Honda;++
;DP3640XAE;Аккумулятор Honda (4 Ач);+
;DP3660XAE;Аккумулятор Honda (6 Ач);+
;DPW3690XAE;Аккумулятор Honda (9 Ач);-
;Садовая техника EFCO;;
;;;ожидается
;51039012;Пила электрическая (электропила) EFCO MT 2000 E;++
;50339011E1;Пила бензиновая (бензопила) EFCO MTH 400;++
;50319012E1A;Пила бензиновая (бензопила) EFCO MTH 510;++
;50329013E1A;Пила бензиновая (бензопила) EFCO MTH 560;++
;50189103E1;Пила бензиновая (бензопила) EFCO MT 371;ожидается
;50189104E1;Пила бензиновая (бензопила) EFCO MT 371;ожидается
;50189153E2;Пила бензиновая (бензопила) EFCO MT 3710 (35 см);++
;50189154E2;Пила бензиновая (бензопила) EFCO MT 3710 (41 см);++
;50179202E1;Пила бензиновая (бензопила) EFCO MT 411;ожидается
;50179252E2;Пила бензиновая (бензопила) EFCO MT 4110;++
;50239114E1;Пила бензиновая (бензопила) EFCO MT 451;ожидается
;50239113E1;Пила бензиновая (бензопила) EFCO MT 451;ожидается
;50239154E2;Пила бензиновая (бензопила) EFCO MT 4510 (41 см);++
;50239153E2;Пила бензиновая (бензопила) EFCO MT 4510 (46 см);++
;61459062E2B;Триммер (мотокоса) бензиновый EFCO DSH 4000 BP ;ожидается
;50359002E5;Пила бензиновая (бензопила) EFCO MTTH 2400 НОВИНКА!!!;++
;50089024E2A;Пила бензиновая (бензопила) EFCO MT 5200;++
;50029130E5;Пила бензиновая (бензопила) EFCO MT 6300;++
;50259002E1;Пила бензиновая (бензопила) EFCO MT 6500;++
;61549002E5;Высоторез бензиновый EFCO PTH 2500-10;++
;61229030E2;Высоторез бензиновый EFCO EF PTX 2710;++
;60049012A;Триммер (мотокоса) электрический EFCO 8061 E;++
;60059014;Триммер (мотокоса) электрический EFCO 8091 E;ожидается
;60049013A;Триммер (мотокоса) электрический EFCO 8092 E;++
;60059012;Триммер (мотокоса) электрический EFCO 8110 E;++
;61469011E1;Триммер (мотокоса) бензиновый EFCO DSH 250 T;++
;61459022E1A;Триммер (мотокоса) бензиновый EFCO DSH 400 T;++
;61459011E1B;Триммер (мотокоса) бензиновый EFCO DSH 400 T ES;ожидается
;61459062E2A;Триммер (мотокоса) бензиновый EFCO DSH 4000 BP;ожидается
;61519061E1;Триммер (мотокоса) бензиновый EFCO DSH 500 T;++
;61039110E1;Триммер (мотокоса) бензиновый EFCO STARK 25;++
;61339072E2;Триммер (мотокоса) бензиновый EFCO STARK 3810 T;++
;61339057E2;Триммер (мотокоса) бензиновый EFCO STARK 4410 BP BACK PACK;++
;61339055E2;Триммер (мотокоса) бензиновый EFCO STARK 4410 T;++
;61119003E1C;Триммер (мотокоса) бензиновый EFCO 8550 BOSS;++
;66059003P;Газонокосилка электрическая (электрокосилка) EFCO PR 35 SE;++
;66089101P;Газонокосилка электрическая (электрокосилка) EFCO PR 40 SE;++
;66129050S;Газонокосилка электрическая (электрокосилка) EFCO LR 44 PE COMFORT PLUS;++
;66139050S;Газонокосилка электрическая (электрокосилка) EFCO LR 48 PE COMFORT PLUS;++
;66109053E5;Газонокосилка бензиновая (бензокосилка) EFCO LR 44 PK COMFORT PLUS;++
;66109062E5A;Газонокосилка бензиновая (бензокосилка) EFCO LR 44 TK COMFORT PLUS;++
;66119060E5;Газонокосилка бензиновая (бензокосилка) EFCO LR 48 PK COMFORT PLUS;++
;66119211E5;Газонокосилка бензиновая (бензокосилка) EFCO LR 48 TK COMFORT PLUS;++
;66079132E5;Газонокосилка бензиновая (бензокосилка) EFCO LR 53 TK COMFORT PLUS;++
;66119181E5;Газонокосилка бензиновая (бензокосилка) EFCO LR 48 TK ALLROAD PLUS 4;++
;66119187E5;Газонокосилка бензиновая (бензокосилка) EFCO LR 48 TBR ALLROAD PLUS 4;+
;66079071E5;Газонокосилка бензиновая (бензокосилка) EFCO LR 53 TK ALLROAD PLUS 4;++
;66079128E5;Газонокосилка бензиновая (бензокосилка) EFCO LR 53 VK ALLROAD PLUS 4;++
;66079163E5;Газонокосилка бензиновая (бензокосилка) EFCO LR 53 TKE ALLROAD PLUS 4;++
;66079100E5;Газонокосилка бензиновая (бензокосилка) EFCO LR 53 TBX ALLROAD PLUS 4;++
;66079134E5;Газонокосилка бензиновая (бензокосилка) EFCO LR 53 TBXE ALLROAD PLUS 4;++
;66069100E5;Газонокосилка бензиновая (бензокосилка) EFCO AR 53 THX ALLROAD ALUMINIUM;++
;66079070E5;Газонокосилка бензиновая (бензокосилка) EFCO LR 53 THX ALLROAD PLUS 4;++
;66069103E5;Газонокосилка бензиновая (бензокосилка) EFCO AR 53 VBD ALLROAD ALUMINIUM;++
;68149002E5;Газонокосилка с сиденьем (минитрактор) EFCO ZEPHYR 72/13 H 4 IN 1;++
;68059055B;Садовый трактор (минитрактор) EFCO EF 84/14,5 K;ожидается
;56609002E5S1;Воздуходув бензиновый EFCO SA 2500 VAC (c комплектом для всасывания);++
;56609002E5;Воздуходув бензиновый EFCO SA 2500;ожидается
;56602004A;Комплект для переоборудования воздуходува EFCO BV 250 / SA 2500;++
;56602004;Комлект для переоборудования воздуходува EFCO SA 2500 KIT;ожидается
;56599105E5A;Воздуходув бензиновый EFCO SA 9010;ожидается
;56529007E5;Воздуходув бензиновый EFCO SA 2063 НОВИНКА!!!;++
;58089001;Кусторез (электроножницы для живой изгороди) электрический EFCO TG 605 E;++
;58029051;Кусторез (электроножницы для живой изгороди) электрический EFCO TG 750 E;++
;61379060E2;Кусторез (бензоножницы для живой изгороди) бензиновый EFCO DS 2410 H;ожидается
;58099011E2;Кусторез (бензоножницы для живой изгороди) бензиновый EFCO TG 2460 P;++
;58099021E2;Кусторез (бензоножницы для живой изгороди) бензиновый EFCO TG 2470 P;++
;61379062E2;Кусторез (бензоножницы для живой изгороди) бензиновый EFCO DS 2410 HL;++
;1800792;Скарификатор бензиновый Efco SCA 38 R;ожидается
;68212000;Травосборник к аэротору SCA 38 R;ожидается
;68729116E5;Транспортер бензиновый EFCO TN 4500;ожидается
;375281012E5;Бензобур EFCO TR 1551;ожидается
;375100028A;Шнек 8х100 см к мотобуру TR 1551;ожидается
;375100029A;Шнек 10х100 см  к мотобуру TR 1551;ожидается
;375100030A;Шнек 15х100 см  к мотобуру TR 1551;ожидается
;375100031A;Шнек 20х100 см  к мотобуру TR 1551;ожидается
;375100115;Удлинитель шнека;++
;365280031E1C;Опрыскиватель (распылитель) бензиновый EFCO AT 800;++
;56069002E1;Опрыскиватель (распылитель) бензиновый EFCO AT 900;ожидается
;56069104E5;Опрыскиватель (распылитель) бензиновый EFCO AT 9000;++
;68059214;Газонокосилка с сиденьем (минитрактор) EFCO 86R/12,5 K M НОВИНКА!!!;++
;68059215;Газонокосилка с сиденьем (минитрактор) EFCO 86R/14,5 K НОВИНКА!!!;ожидается
;68059216;Газонокосилка с сиденьем (минитрактор) EFCO 92R/16 K НОВИНКА!!!;++
;68059217;Газонокосилка с сиденьем (минитрактор) EFCO 102R/16 K НОВИНКА!!!;++
;;;
;Садовая техника EVOline;;
;2TPS10EVO;Масло моторное EVOline для 2-тактных двигателей полусинтетическое API TC;++
;4TPS10EVO;Масло моторное EVOline для 4-тактных двигателей полусинтетическое SAE 10W-40 API  SJ/CF;++
;CH10EVO;Масло смазочное EVOline для цепи;++
;BLB800(36V);Воздуходув аккумуляторный EVOline BLB 800 (36V);+
;BLG31VAC (4T);Воздуходув бензиновый EVOline BLG 31 4T VAC с фунцкия всасываня;++
;BLE2600VAC;Воздуходув электрический EVOline BLE 2600 VAC с фунцкцией всасывания;++
;LMB40(36V);Газонокосилка аккумуляторная EVOline LMB 40 (36V);ожидается
;LMG42CP;Газонокосилка бензиновая (бензокосилка) EVOline LMG 42 CP;++
;LMG42CS;Газонокосилка бензиновая (бензокосилка) EVOline LMG 42 CS;++
;LMG46CP;Газонокосилка бензиновая (бензокосилка) EVOline LMG 46 CP;++
;LMG46CS;Газонокосилка бензиновая (бензокосилка) EVOline LMG 46 CS;++
;LMG48CV;Газонокосилка бензиновая (бензокосилка) EVOline LMG 48 CV;++
;LMG48CVH;Газонокосилка бензиновая (бензокосилка) EVOline LMG 48 CVH;++
;LMG51CS;Газонокосилка бензиновая (бензокосилка) EVOline LMG 51 CS;++
;LMG51P;Газонокосилка бензиновая (бензокосилка) EVOline LMG 51 P;++
;LMG53CV;Газонокосилка бензиновая (бензокосилка) EVOline LMG 53 CV;++
;LMG53CVE;Газонокосилка бензиновая (бензокосилка) EVOline LMG 53 CVE;ожидается
;LMG53CVH;Газонокосилка бензиновая (бензокосилка) EVOline LMG 53 CVH;++
;TRG63CM;Газонокосилка с сиденьем бензиновая TRG 63 CM;ожидается
;LME32;Газонокосилка электрическая (электрокосилка) EVOline LME 32;++
;LME38;Газонокосилка электрическая (электрокосилка) EVOline LME 38;++
;LME42;Газонокосилка электрическая (электрокосилка) EVOline LME 42;++
;BSE2500;Измельчитель электрический EVOline BSE 2500;++
;BSE2800;Измельчитель электрический EVOline BSE 2800;ожидается
;BSE2800C;Измельчитель электрический EVOline BSE 2800 C;++
;HTG23-60;Кусторез (бензоножницы для живой изгороди) бензиновый EVOline HTG 23-60;++
;GSB7.2V;Ножницы для травы аккумуляторные EVOline GSB 7.2V;++
;CSB700-16(36V);Пила аккумуляторная EVOline CSB 700-16 (36V);ожидается
;CSG25-12ES;Пила бензиновая (бензопила) EVOline CSG 25-12 ES;++
;CSG40-14ES;Пила бензиновая (бензопила) EVOline CSG 40-14 ES;++
;CSG40-16ES;Пила бензиновая (бензопила) EVOline CSG 40-16 ES;++
;CSG46-16ES;Пила бензиновая (бензопила) EVOline CSG 46-16 ES;++
;CSG46-18ES;Пила бензиновая (бензопила) EVOline CSG 46-18 ES;++
;CSG50-18ES;Пила бензиновая (бензопила) EVOline CSG 50-18 ES;++
;CSG55-18ES;Пила бензиновая (бензопила) EVOline CSG 55-18 ES;++
;CSG58-18ES;Пила бензиновая (бензопила) EVOline CSG 58-18 ES;++
;CSE1400-14;Пила электрическая (электропила) EVOLine CSE 1400-14;++
;CSE2000-16;Пила электрическая (электропила) EVOLine CSE 2000-16;++
;CSE2400-18;Пила электрическая (электропила) EVOLine CSE 2400-18;++
;SWG620-160;Подметальная машина бензиновая EVOline SWG 620-160;++
;SWG620-200;Подметальная машина бензиновая EVOline SWG 620-200;++
;SWG800;Подметальная машина бензиновая EVOline SWG 800;++
;SWG800B;Подметальная машина бензиновая EVOline SWG 800 B;++
;SWG1000;Подметальная машина бензиновая EVOline SWG 1000;++
;SWG1000B;Подметальная машина бензиновая EVOline SWG 1000 B;++
;SWG1000H;Подметальная машина бензиновая EVOline SWG 1000 H НОВИНКА!!!;++
;TH;Ручка телескопическая для ножниц EVOLine GSB 7.2V;++
;TRG84CH;Садовый трактор (минитрактор) EVOline TRG 84 CH;++
;TRG84CM;Садовый трактор (минитрактор) EVOline TRG 84 CM;++
;TRG84H;Садовый трактор (минитрактор) EVOline TRG 84 H;++
;TRG84M;Садовый трактор (минитрактор) EVOline TRG 84 M;++
;TRG96H;Садовый трактор (минитрактор) EVOline TRG 96 H;++
;TRG96CH;Садовый трактор (минитрактор) EVOline TRG 96 CH;ожидается
;SCE38;Скарификатор (аэратор) электрический EVOline SCE 38;++
;SCG40CP;Скарификатор бензиновый EVOline SCG 40 CP;ожидается
;SCG40CPH;Скарификатор бензиновый EVOline SCG 40 CPH;ожидается
;SBG460;Снегоуборщик (снегоотбрасыватель) бензиновый EVOline SBG 460;ожидается
;SBG560;Снегоуборщик (снегоотбрасыватель) бензиновый EVOline SBG 560;+
;SBG560BE;Снегоуборщик (снегоотбрасыватель) бензиновый EVOline SBG 560 BE;ожидается
;SBG560E;Снегоуборщик (снегоотбрасыватель) бензиновый EVOline SBG 560 E;++
;SBG610BE;Снегоуборщик (снегоотбрасыватель) бензиновый EVOline SBG 610 BE;++
;SBG620E;Снегоуборщик (снегоотбрасыватель) бензиновый EVOline SBG 620 E;++
;SBG660E;Снегоуборщик (снегоотбрасыватель) бензиновый EVOline SBG 660 E;++
;SBG660TE;Снегоуборщик (снегоотбрасыватель) бензиновый EVOline SBG 660 TE;++
;SBG690BE;Снегоуборщик (снегоотбрасыватель) бензиновый EVOline SBG 690 BE;++
;SBG690TBE;Снегоуборщик (снегоотбрасыватель) бензиновый EVOline SBG 690 TBE;++
;SBG700E;Снегоуборщик (снегоотбрасыватель) бензиновый EVOline SBG 700 E;++
;SBG700TE;Снегоуборщик (снегоотбрасыватель) бензиновый EVOline SBG 700 TE;ожидается
;SBG760BE;Снегоуборщик (снегоотбрасыватель) бензиновый EVOline SBG 760 BE;++
;SBG760E;Снегоуборщик (снегоотбрасыватель) бензиновый EVOline SBG 760 E;++
;SBG760TBE;Снегоуборщик (снегоотбрасыватель) бензиновый EVOline SBG 760 TBE;++
;SBG760TE;Снегоуборщик (снегоотбрасыватель) бензиновый EVOline SBG 760 TE;++
;SBE330;Снегоуборщик (снегоотбрасыватель) электрический EVOline SBE 330;ожидается
;SBE460L;Снегоуборщик (снегоотбрасыватель) электрический EVOline SBE 460 L;++
;SBG610HE;Снегоуборщик (снегоотбрасыватель) бензиновый EVOline SBG 610 HE НОВИНКА!!!;++
;SBG690HE;Снегоуборщик (снегоотбрасыватель) бензиновый EVOline SBG 690 HE НОВИНКА!!!;++
;SBG760HE;Снегоуборщик (снегоотбрасыватель) бензиновый EVOline SBG 760 HE НОВИНКА!!!;++
;SBG690THE;Снегоуборщик (снегоотбрасыватель) бензиновый EVOline SBG 690 THE НОВИНКА!!!;++
;SBG760THE;Снегоуборщик (снегоотбрасыватель) бензиновый EVOline SBG 760 THE НОВИНКА!!!;ожидается
;SBG760THEHYDRO;Снегоуборщик (снегоотбрасыватель) бензиновый EVOline SBG 760 THE HYDRO НОВИНКА!!!;ожидается
;BCG25ES;Триммер (мотокоса) бензиновый EVOline BCG 25 ES;++
;BCG33ES;Триммер (мотокоса) бензиновый EVOline BCG 33 ES;++
;BCG36(4T);Триммер (мотокоса) бензиновый EVOline BCG 36 (4T);++
;BCG43ES;Триммер (мотокоса) бензиновый EVOline BCG 43 ES;++
;BCG52ESAV;Триммер (мотокоса) бензиновый EVOline BCG 52 ES AV;++
;BCE1000;Триммер (мотокоса) электрический EVOline BCE 1000;++
;BCE1200T;Триммер (мотокоса) электрический EVOline BCE 1200T;++
;BCE550;Триммер (мотокоса) электрический EVOline BCE 550;++
;СНЕГОУБОРЩИКИ;;
;HSS655K1EW;Снегоуборщик (снегоотбрасыватель) бензиновый Honda HSS 655 EW;-
;HSS655K1ET;Снегоуборщик (снегоотбрасыватель) бензиновый Honda HSS 655 ET;-
;HSS655K1ETD;Снегоуборщик (снегоотбрасыватель) бензиновый Honda HSS 655 ETD;-
;HSS760AETD;Снегоуборщик (снегоотбрасыватель) бензиновый Honda HSS 760 A ETD;-
;HSS970AETD;Снегоуборщик (снегоотбрасыватель) бензиновый Honda HSS 970 A ETD;-
;HSM1380IK1ETD;Снегоуборщик (снегоотбрасыватель) гибридный Honda HSM 1380 IE;-
;HSM1390IK2ETDR;Снегоуборщик (снегоотбрасыватель) гибридный Honda HSM 1390 I2ETDR;-
;113096;Снегоуборщик (снегоотбрасыватель) бензиновый AL-KO SnowLine 55 E;-
;112933;Снегоуборщик (снегоотбрасыватель) бензиновый AL-KO SnowLine 560 II;-
;112935;Снегоуборщик (снегоотбрасыватель) бензиновый AL-KO SnowLine 620 E II;-
;112931;Снегоуборщик (снегоотбрасыватель) бензиновый AL-KO SnowLine 700 E;-
;112930;Снегоуборщик (снегоотбрасыватель) бензиновый AL-KO SnowLine 760 TE;-
