;;;
;Остатки на складах АСТАРИ;;на 25.04.2024
;955012204;Генератор дизельный сварочный Europower EP 220 DX;ожидается
;955012205;Генератор дизельный сварочный Europower EP 220 DXE;ожидается
;951012305;Генератор дизельный сварочный Europower EPS 230 DXE DC;ожидается
;951013005;Генератор дизельный сварочный Europower EPS 300 DXE DC;ожидается
;993010280;Электростанция дизельная Europower EP 2800 D;ожидается
;993010281;Электростанция дизельная Europower EP 2800 DE;ожидается
;953010400;Электростанция дизельная Europower EP 4000 D;ожидается
;953010401;Электростанция дизельная Europower EP 4000 DE;ожидается
;953010600;Электростанция дизельная Europower EP 6000 D;ожидается
;953010601;Электростанция дизельная Europower EP 6000 DE;ожидается
;953010602;Электростанция дизельная Europower EP 6000 TD;ожидается
;953010603;Электростанция дизельная Europower EP 6000 TDE;ожидается
;951011601;Электростанция дизельная Europower EP 163 DE;ожидается
;991011803;Электростанция дизельная Europower EP 183 DE;ожидается
;991012403;Электростанция дизельная Europower EP 243 TDE;ожидается
;951110911;Электростанция дизельная Europower EPS 8 DE;ожидается
;951111811;Электростанция дизельная Europower EPS 18 DE;ожидается
;951111811HEAT;Электростанция дизельная Europower EPS 18 DE с подогревом охл. жидкости;ожидается
;991113001;Электростанция дизельная Europower EP 30 DE;ожидается
;991113011;Электростанция дизельная Europower EPS 30 DE;ожидается
;991113011HEAT;Электростанция дизельная Europower EPS 30 DE с подогревом охл. жидкости;ожидается
;951010711;Электростанция дизельная Europower EPS 73 DE;ожидается
;991011011;Электростанция дизельная Europower EPS 103 DE;ожидается
;991011012-S13;Электростанция дизельная Europower EPS 103 DE бак 25 л;ожидается
;991110913;Электростанция дизельная Europower EPS 9 TDE;ожидается
;951111111;Электростанция дизельная Europower EPS 11 DE;ожидается
;991112003;Электростанция дизельная Europower EP 20 TDE;ожидается
;981112014;Электростанция дизельная Europower EPS 20 TDE;ожидается
;981112014-S71;Электростанция дизельная Europower EPS 20 TDE;ожидается
;951010813;Электростанция дизельная Europower EPS 83 TDE;ожидается
;951011114-S59;Электростанция дизельная Europower EPS 113 TDE;++
;951011312;Электростанция дизельная Europower EPS 123 DE;ожидается
;951011414-S31;Электростанция дизельная Europower EPS 133 TDE;++
;951011612;Электростанция дизельная Europower EPS 163 DE;ожидается
;951011611HEAT;Электростанция дизельная Europower EPS 163 DE с подогревом охл. жидкости;ожидается
;991011813HEAT;Электростанция дизельная Europower EPS 183 TDE с подогревом охл. Жидкости;ожидается
;951011911;Электростанция дизельная Europower EPS 193 DE;ожидается
;951011911HEAT;Электростанция дизельная Europower EPS 193 DE с подогревом охл. жидкости;++
;991012413;Электростанция дизельная Europower EPS 243 TDE;ожидается
;991012413HEAT;Электростанция дизельная Europower EPS 243 TDE с подогревом охл. Жидкости;ожидается
;991013313-S4;Электростанция дизельная Europower EPS 333 TDE;ожидается
;991013313;Электростанция дизельная Europower EPS 333 TDE;ожидается
;991013313HEAT;Электростанция дизельная Europower EPS 333 TDE с подогревом охл. жидкости;ожидается
;981112014HEAT;Электростанция дизельная Europower EPS 20 TDE с подогревом охл. жидкости;++
;991113413;Электростанция дизельная Europower EPS 34 TDE;ожидается
;991113413-S3;Электростанция дизельная Europower EPS 34 TDE;ожидается
;991113413HEAT;Электростанция дизельная Europower EPS 34 TDE с подогревом охл. Жидкости;ожидается
;981114413-S58;Электростанция дизельная Europower EPS 44 TDE;ожидается
;991114413;Электростанция дизельная Europower EPS 44 TDE;ожидается
;991114413HEAT;Электростанция дизельная Europower EPS 44 TDE с подогревом охл. жидкости;ожидается
;Генераторы Honda (Япония);;
;EU10iT1RG;Генератор бензиновый инверторный Honda EU 10I;++
;EU22ITRH;Генератор бензиновый инверторный Honda EU 22 IT RH;++
;EU30iS1RGA6;Генератор бензиновый инверторный Honda EU 30Is;++
;EU70iSRGT;Генератор бензиновый инверторный Honda EU 70is;-
;EP2500CX1RGH;Генератор бензиновый Honda EP 2500 CX1;-
;EG5500CXSRGH;Генератор бензиновый Honda EG 5500CXS;-
